1	1	d_yak	2R	13068567	13068958	1
2	1	d_yak	2R	13069015	13069751	1
3	1	d_yak	2R	13069820	13069937	1
4	1	d_yak	2R	13070002	13070111	1
5	1	d_yak	2R	13070166	13070305	1
6	2	d_yak	3L	8339910	8340665	1
7	3	d_yak	2R	7641254	7641327	-1
8	4	d_yak	3L	4458172	4458255	-1
9	4	d_yak	3L	4458020	4458117	-1
10	4	d_yak	3L	4457161	4457954	-1
11	4	d_yak	3L	4456619	4457100	-1
12	5	d_yak	3R	14270031	14270103	-1
13	6	d_yak	3R	16643414	16643963	-1
14	6	d_yak	3R	16642972	16643341	-1
15	6	d_yak	3R	16642752	16642905	-1
16	6	d_yak	3R	16642304	16642513	-1
17	6	d_yak	3R	16641971	16642073	-1
18	6	d_yak	3R	16641521	16641577	-1
19	6	d_yak	3R	16640972	16641096	-1
20	6	d_yak	3R	16640680	16640914	-1
21	6	d_yak	3R	16639790	16640622	-1
22	7	d_yak	2L	12108539	12108742	1
23	7	d_yak	2L	12109010	12109912	1
24	8	d_yak	X	17176905	17176950	-1
25	8	d_yak	X	17176508	17176769	-1
26	8	d_yak	X	17176119	17176440	-1
27	8	d_yak	X	17174611	17176065	-1
28	8	d_yak	X	17174353	17174546	-1
29	8	d_yak	X	17174114	17174239	-1
30	8	d_yak	X	17173803	17174007	-1
31	9	d_yak	2L	883702	883911	1
32	9	d_yak	2L	883984	886149	1
33	10	d_yak	2L	2968369	2970168	-1
34	11	d_yak	2L	18954539	18955862	1
35	11	d_yak	2L	18956913	18957077	1
36	11	d_yak	2L	18957148	18957338	1
37	11	d_yak	2L	18957404	18957585	1
38	11	d_yak	2L	18957659	18957771	1
39	11	d_yak	2L	18957833	18957984	1
40	11	d_yak	2L	18958042	18958244	1
41	11	d_yak	2L	18958308	18958471	1
42	11	d_yak	2L	18958527	18958666	1
43	11	d_yak	2L	18958864	18958975	1
44	11	d_yak	2L	18959039	18959175	1
45	12	d_yak	3L	19187742	19187807	1
46	12	d_yak	3L	19188483	19189508	1
